user_id,taste_profile
1,"{""Action-Sci-Fi Fan"": 1.0}"
2,"{""Romance-Comedy Fan"": 1.0}"
3,"{""Horror-Thriller Fan"": 1.0}"
4,"{""Bollywood Fan"": 1.0}"
5,"{""Romance-Comedy Fan"": 1.0}"
6,"{""Horror-Thriller Fan"": 0.7, ""Drama Purist"": 0.3}"
7,"{""Bollywood Fan"": 1.0}"
8,"{""Drama Purist"": 1.0}"
9,"{""Horror-Thriller Fan"": 1.0}"
10,"{""Animated-Family Fan"": 0.7, ""Prestige Awards Fan"": 0.3}"
11,"{""Drama Purist"": 0.7, ""Bollywood Fan"": 0.3}"
12,"{""Animated-Family Fan"": 0.7, ""Prestige Awards Fan"": 0.3}"
13,"{""Animated-Family Fan"": 0.7, ""Action-Sci-Fi Fan"": 0.3}"
14,"{""Crime-Noir Fan"": 1.0}"
15,"{""Horror-Thriller Fan"": 0.7, ""Bollywood Fan"": 0.3}"
16,"{""Bollywood Fan"": 1.0}"
17,"{""Prestige Awards Fan"": 0.7, ""Action-Sci-Fi Fan"": 0.3}"
18,"{""Drama Purist"": 0.7, ""Animated-Family Fan"": 0.3}"
19,"{""Animated-Family Fan"": 1.0}"
20,"{""Prestige Awards Fan"": 0.7, ""Crime-Noir Fan"": 0.3}"
21,"{""Animated-Family Fan"": 1.0}"
22,"{""Bollywood Fan"": 1.0}"
23,"{""Action-Sci-Fi Fan"": 0.7, ""Prestige Awards Fan"": 0.3}"
24,"{""Romance-Comedy Fan"": 0.7, ""Horror-Thriller Fan"": 0.3}"
25,"{""Drama Purist"": 0.7, ""Romance-Comedy Fan"": 0.3}"
26,"{""Romance-Comedy Fan"": 1.0}"
27,"{""Animated-Family Fan"": 0.7, ""Romance-Comedy Fan"": 0.3}"
28,"{""Romance-Comedy Fan"": 1.0}"
29,"{""Drama Purist"": 1.0}"
30,"{""Animated-Family Fan"": 1.0}"
31,"{""Action-Sci-Fi Fan"": 1.0}"
